Date,Value
2021-05-27,145672915.21124923
2021-05-26,151898253.46814018
2021-05-25,153143321.1195184
2021-05-24,156878524.07365298
2021-05-23,148163050.51400563
2021-05-22,144427847.55987102
2021-05-21,136957441.65160182
2021-05-20,139447576.95435822
2021-05-19,155633456.42227483
2021-05-18,124506765.13781984
2021-05-17,150653185.81676203
2021-05-16,164348929.98192218
2021-05-15,153143321.1195184
2021-05-14,166839065.28467855
2021-05-13,185896531.25400168
2021-05-12,176209059.88134116
2021-05-11,176209059.88134116
2021-05-10,184404830.10838032
2021-05-09,190551657.77865964
2021-05-08,175184588.60296133
2021-05-07,176209059.88134116
2021-05-06,174160117.32458138
2021-05-05,160841990.70564282
2021-05-04,185429301.38676018
2021-05-03,181331416.27324063
2021-05-02,189527186.50027972
2021-05-01,158954589.9843886
2021-04-30,169978665.11499172
2021-04-29,143016532.02778608
2021-04-28,166461865.14709532
2021-04-27,166461865.14709532
2021-04-26,133638398.78006244
2021-04-25,165289598.49112985
2021-04-24,169978665.11499172
2021-04-23,158255998.55533707
2021-04-22,167634131.80306083
2021-04-21,118398932.25251149
2021-04-20,150050131.96357888
2021-04-19,113709865.62864962
2021-04-18,145361065.33971703
2021-04-17,106676265.69285686
2021-04-16,120743465.56444241
2021-04-15,198514005.7096344
2021-04-14,155272729.18854752
2021-04-13,163323907.73906472
2021-04-12,165624244.46778402
2021-04-11,166774412.8321436
2021-04-10,180576433.2044589
2021-04-09,174825591.38266087
2021-04-08,154122560.82418784
2021-04-07,180576433.2044589
2021-04-06,165624244.46778402
2021-04-05,179426264.84009933
2021-04-04,167924581.1965032
2021-04-03,150672055.73110902
2021-04-02,160517766.38346806
2021-04-01,157606703.96998987
2021-03-31,170650017.40198898
2021-03-30,158693646.75598982
2021-03-29,164128360.68598944
2021-03-28,172823902.97398886
2021-03-27,172823902.97398886
2021-03-26,147824218.8959905
2021-03-25,167389189.04398918
2021-03-24,165215303.47198936
2021-03-23,174997788.54598877
2021-03-22,164128360.68598944
2021-03-21,169563074.61598912
2021-03-20,167389189.04398918
2021-03-19,158357615.36380938
2021-03-18,162062349.9302092
2021-03-17,145003155.20071352
2021-03-16,158863750.91842875
2021-03-15,157797551.24783528
2021-03-14,167393348.28317663
2021-03-13,152466552.89486787
2021-03-12,159929950.58902222
2021-03-11,140738356.51833954
2021-03-10,158863750.91842875
2021-03-09,149267953.88308737
2021-03-08,165260948.9419896
2021-03-07,155665151.9066483
2021-03-06,162254330.9888254
2021-03-05,160906977.89941573
2021-03-04,138228813.22902828
2021-03-03,164146715.7094711
2021-03-02,154427502.27930507
2021-03-01,140388638.43573186
2021-02-28,141468551.03908366
2021-02-27,169546278.72623003
2021-02-26,150107851.8658979
2021-02-25,168466366.12287825
2021-02-24,171706103.93293357
2021-02-23,137148900.62567648
2021-02-22,143628376.24578717
2021-02-21,152267677.07260144
2021-02-20,157667240.0893604
2021-02-19,163181402.20420986
2021-02-18,145974815.55440575
2021-02-17,147040325.15699264
2021-02-16,128926661.9130153
2021-02-15,160891949.9906224
2021-02-14,158760930.78544855
2021-02-13,167285007.60614383
2021-02-12,151302363.56734022
2021-02-11,137450738.7337105
2021-02-10,152367873.16992718
2021-02-09,152367873.16992718
2021-02-08,172612555.6190783
2021-02-07,166219498.0035569
2021-02-06,169021265.50315762
2021-02-05,174939225.83110696
2021-02-04,165622935.69808948
2021-02-03,155271502.21695888
2021-02-02,157341788.913185
2021-02-01,124217201.7735671
