Date,Value
2021-06-24,19507.525114459808
2021-06-23,35433.76064338965
2021-06-22,32675.421877650126
2021-06-21,29636.218464320067
2021-06-20,10008.422566430025
2021-06-19,16821.09152473991
2021-06-18,38680.52319793988
2021-06-17,21164.78843420017
2021-06-16,19914.914057720158
2021-06-15,23715.55107189003
2021-06-14,16377.869947039904
2021-06-13,19595.292436979857
2021-06-12,17967.657991719974
2021-06-11,18752.191113869838
2021-06-10,50944.34506083981
2021-06-09,50588.24816928973
2021-06-08,15851.727710849931
2021-06-07,30494.47691126003
2021-06-06,8701.261839800032
2021-06-05,11463.658406919983
2021-06-04,15505.040374200156
2021-06-03,13950.234975330022
2021-06-02,24095.324312950605
2021-06-01,26450.03962224997
2021-05-31,22246.919526889702
2021-05-30,6366.97089435996
2021-05-29,10427.310745950044
2021-05-28,17838.511401720134
2021-05-27,19012.424279400013
2021-05-26,24427.16889924992
2021-05-25,21192.495812519952
2021-05-24,16982.60354447012
2021-05-23,14841.587710009875
2021-05-22,18070.96999000997
2021-05-21,21335.610550160003
2021-05-20,27391.46403257004
2021-05-19,60807.17446964036
2021-05-18,21695.32470338991
2021-05-17,32399.128251079877
2021-05-16,17956.28231187009
2021-05-15,18992.164864149818
2021-05-14,22986.59270903964
2021-05-13,19558.23657536974
2021-05-12,20526.832539579656
2021-05-11,33328.80885751998
2021-05-10,22554.652947219718
2021-05-09,9825.1881332599
2021-05-08,19883.274071540123
2021-05-07,19861.002238929763
2021-05-06,23978.47365674981
2021-05-05,19123.76720560006
2021-05-04,17992.740786589955
2021-05-03,13839.598494750024
2021-05-02,17024.726718430004
2021-05-01,21458.177215659838
2021-04-30,23928.263069969653
2021-04-29,26189.69352000998
2021-04-28,24201.11346991007
2021-04-27,24014.5397402098
2021-04-26,19937.194296189955
2021-04-25,11692.181363450032
2021-04-24,17873.046434549742
2021-04-23,28504.350986639936
2021-04-22,27861.986675170207
2021-04-21,46581.5257221596
2021-04-20,20908.837041759947
2021-04-19,25084.709337679862
2021-04-18,32091.46139086983
2021-04-17,36564.41476831007
2021-04-16,22218.978779360055
2021-04-15,27639.31700197966
2021-04-14,31864.120280789863
2021-04-13,20784.77315088981
2021-04-12,35733.09495904971
2021-04-11,11320.930076969993
2021-04-10,20348.055821899976
2021-04-09,15511.136555560004
2021-04-08,19191.19505873985
2021-04-07,27275.045356759794
2021-04-06,32328.772578939457
2021-04-05,13381.655092029943
2021-04-04,13202.262628830094
2021-04-03,13383.579562080158
2021-04-02,30068.971462440357
2021-04-01,46787.180413019196
2021-03-31,18491.24485460008
2021-03-30,34533.942068669785
2021-03-29,37019.68049627008
2021-03-28,12633.75365824989
2021-03-27,27448.47895536006
2021-03-26,50989.301070190566
2021-03-25,25004.98312380966
2021-03-24,23830.362326959665
2021-03-23,31404.229683269965
2021-03-22,15125.069753489895
2021-03-21,31150.296352779907
2021-03-20,14910.595589109893
2021-03-19,24628.13540999021
2021-03-18,23764.718789489736
2021-03-17,17969.263404240133
2021-03-16,40201.016996420476
2021-03-15,38203.93698245049
2021-03-14,15890.903180320014
2021-03-13,33533.0283934501
2021-03-12,42651.56486033087
2021-03-11,26129.067899710026
2021-03-10,37704.1884032003
2021-03-09,32131.75812987049
2021-03-08,19584.636453979794
2021-03-07,13993.101705529672
2021-03-06,14744.385508480133
2021-03-05,47307.31125819958
2021-03-04,29607.713763879932
