,FileName,Meaning,url,csv_url
1,BCHAIN-AVBLS.csv,Bitcoin Average Block Size,https://www.quandl.com/data/BCHAIN/AVBLS-Bitcoin-Average-Block-Size,https://www.quandl.com/api/v3/datasets/BCHAIN/AVBLS.csv?api_key=bTPes7LjqbErjvtYRsWu
2,BCHAIN-HRATE.csv,Bitcoin Hash Rate,https://www.quandl.com/data/BCHAIN/HRATE-Bitcoin-Hash-Rate,https://www.quandl.com/api/v3/datasets/BCHAIN/HRATE.csv?api_key=bTPes7LjqbErjvtYRsWu
3,BCHAIN-MIREV.csv,Bitcoin Miners Revenue,https://www.quandl.com/data/BCHAIN/MIREV-Bitcoin-Miners-Revenue,https://www.quandl.com/api/v3/datasets/BCHAIN/MIREV.csv?api_key=bTPes7LjqbErjvtYRsWu
4,BCHAIN-MWNTD.csv,Bitcoin My Wallet Number of Transaction Per Day,https://www.quandl.com/data/BCHAIN/MWNTD-Bitcoin-My-Wallet-Number-of-Transaction-Per-Day,https://www.quandl.com/api/v3/datasets/BCHAIN/MWNTD.csv?api_key=bTPes7LjqbErjvtYRsWu
5,BCHAIN-TOTBC.csv,Total Bitcoins in Circulation,https://www.quandl.com/data/BCHAIN/TOTBC-Total-Bitcoins,https://www.quandl.com/api/v3/datasets/BCHAIN/TOTBC.csv?api_key=bTPes7LjqbErjvtYRsWu
6,BCHAIN-CPTRA.csv,Bitcoin Cost Per Transaction,https://www.quandl.com/data/BCHAIN/CPTRA-Bitcoin-Cost-Per-Transaction,https://www.quandl.com/api/v3/datasets/BCHAIN/CPTRA.csv?api_key=bTPes7LjqbErjvtYRsWu
7,BCHAIN-TRVOU.csv,Bitcoin USD Exchange Trade Volume,https://www.quandl.com/data/BCHAIN/TRVOU-Bitcoin-USD-Exchange-Trade-Volume,https://www.quandl.com/api/v3/datasets/BCHAIN/TRVOU.csv?api_key=bTPes7LjqbErjvtYRsWu
8,BCHAIN-MWTRV.csv,Bitcoin My Wallet Transaction Volume,https://www.quandl.com/data/BCHAIN/MWTRV-Bitcoin-My-Wallet-Transaction-Volume,https://www.quandl.com/api/v3/datasets/BCHAIN/MWTRV.csv?api_key=bTPes7LjqbErjvtYRsWu
10,BCHAIN-TRFEE.csv,Bitcoin Total Transaction Fees,https://www.quandl.com/data/BCHAIN/TRFEE-Bitcoin-Total-Transaction-Fees,https://www.quandl.com/api/v3/datasets/BCHAIN/TRFEE.csv?api_key=bTPes7LjqbErjvtYRsWu
11,BCHAIN-TOUTV.csv,Bitcoin Total Output Volume,https://www.quandl.com/data/BCHAIN/TOUTV-Bitcoin-Total-Output-Volume,https://www.quandl.com/api/v3/datasets/BCHAIN/TOUTV.csv?api_key=bTPes7LjqbErjvtYRsWu
12,BCHAIN-NTRAT.csv,Bitcoin Total Number of Transactions,https://www.quandl.com/data/BCHAIN/NTRAT-Bitcoin-Total-Number-of-Transactions,https://www.quandl.com/api/v3/datasets/BCHAIN/NTRAT.csv?api_key=bTPes7LjqbErjvtYRsWu
13,BCHAIN-MKTCP.csv,Bitcoin Market Capitalization,https://www.quandl.com/data/BCHAIN/MKTCP-Bitcoin-Market-Capitalization,https://www.quandl.com/api/v3/datasets/BCHAIN/MKTCP.csv?api_key=bTPes7LjqbErjvtYRsWu
