username,date,tweet
michael_saylor,2021-06-18,@PeterSchiff @jack Congratulations. If you want to continue on your winning streak:  1. Buy #Bitcoin  2. Add #Bitcoin to your twitter bio 3. Get a decent pair of #Bitcoin laser eyes 4. Spread the message that #Bitcoin is  https://t.co/Rvf2JvyHMb Then good things will start happening to you. 🚀
michael_saylor,2021-06-18,"""Hope does not disappoint."" - Paul the Apostle on #Bitcoin"
michael_saylor,2021-06-17,Everyone is making your #bitcoin more valuable.
michael_saylor,2021-06-17,"The Chinese crackdown on mining is a tragedy for China, a nuisance for #Bitcoin, and a windfall for North American Bitcoin miners."
michael_saylor,2021-06-17,The increase in the number of publicly traded #Bitcoin miners and their migration to US based stock exchanges is indicative of broader institutional adoption of bitcoin and enthusiasm for the PoW mining business model.
michael_saylor,2021-06-17,@ScottMinerd The best way to mitigate this risk is to integrate the existing centralized global payments system with a decentralized global payments system.  #Bitcoin #Lightning
michael_saylor,2021-06-17,"@lexfridman Yes. #Bitcoin is the first engineered monetary network. Satoshi brought the principles of mathematics, science, &amp; engineering to the field of economics with an invention that has the potential to improve the lives of billions of people.  That definitely merits the Nobel Prize."
michael_saylor,2021-06-17,Focus on #Bitcoin.
michael_saylor,2021-06-16,The world is waking up to the fact that #bitcoin is digital property on an open monetary network.  https://t.co/SXhPR9xnkX
michael_saylor,2021-06-16,@lexfridman Lol.  Christopher Columbus said this first regarding #Bitcoin.
michael_saylor,2021-06-16,"The @FT notes that @MicroStrategy intends to ""acquire and hold #bitcoin, which we view as a dependable store of value supported by a robust, public, open-source architecture untethered to sovereign monetary policy.""  https://t.co/N21rxxEFoz"
michael_saylor,2021-06-16,"“The less pain we tolerate, the more average we become.” - Jack Butcher on #Bitcoin"
michael_saylor,2021-06-16,"We welcome all to join our Bitcoin Mining Council meeting tomorrow (Wednesday 8pm EDT). We will have a variety of speakers discussing industry trends, including guest #bitcoin leaders for the Q&amp;A. If you have topics or questions you would like us to cover, please reply below."
michael_saylor,2021-06-15,"Thanks @CourtReagan &amp; @GuyAdami for inviting me on @CNBCFastMoney to discuss our #Bitcoin strategy, increasing institutional adoption of BTC vs. Gold as an inflation hedge, $MSTR capital markets strategy, and the future of the crypto-industry."
michael_saylor,2021-06-15,"@Jkylebass @StalwartSt If you start with rural land and make it more scarce, more fungible, more portable, easier to sell, easier to borrow against, easier to farm, easier to develop, harder to tax, harder to seize, harder to impair, &amp; more desirable to everyone on earth you end up with #bitcoin."
michael_saylor,2021-06-15,Do you expect the price of #bitcoin to appreciate more than 6.125% annually over the next seven years?
michael_saylor,2021-06-15,It's better to have a #bitcoin and not need it than need a bitcoin and not have it.
michael_saylor,2021-06-14,"As #Bitcoin spreads around the world, the USD benefits."
michael_saylor,2021-06-14,"MicroStrategy Completes $500 Million Offering of 6.125% Senior Secured Notes Due 2028 with #Bitcoin Use of Proceeds. @MicroStrategy’s existing approximately 92,079 bitcoins are being held by a newly formed subsidiary, MacroStrategy LLC.  $MSTR  https://t.co/avdKhHDLMH"
michael_saylor,2021-06-14,"If you invest 5% of your portfolio in #bitcoin, you have made the decision to invest 95% of your portfolio in assets getting demonetized by bitcoin."
michael_saylor,2021-06-14,"When it’s all said and done, historians will tell the story with annualized charts, and future generations will only remember whether you won or lost.  #Bitcoin"
michael_saylor,2021-06-13,"#Bitcoin is durable over time because Bitcoin miners bring jobs, capital, &amp; economic prosperity to every jurisdiction where they operate. Bitcoin will have political support from progressive local, state, &amp; federal leaders because it's in the best interests of their constituents."
michael_saylor,2021-06-13,"If you worry the government might devalue 90% of your life savings and seize your dollars, #bitcoin fixes this.   https://t.co/SSVfgf6Itk"
michael_saylor,2021-06-13,"@lexfridman It's likely that the thing the 21st century will be remembered for is #Bitcoin and the invention of monetary engineering. For the first time, engineering principles &amp; techniques are impacting economics.  We now have a closed digital system to transmit money across time &amp; space."
michael_saylor,2021-06-13,"My conversation with @TomBilyeu on @Microstrategy, technology risk, engineering innovation, first principles, the chambered nautilus, volatility at sea, economic myths, currency calculus, monetary singularity, property rights, and the #Bitcoin solution.  https://t.co/1dzZgwnKQD"
michael_saylor,2021-06-13,#Bitcoin is engineering disrupting economics.
michael_saylor,2021-06-12,"@cz_binance The Renaissance &amp; Reformation both came when we figured out how to transmit information across time and space via the printing press.  Now with #Bitcoin, we know how to transmit money across time and space..."
michael_saylor,2021-06-12,"On Wednesday, you are all invited to meet with members of the Bitcoin Mining Council to discuss the latest on #Bitcoin Mining, the energy debate, network dynamics, China mining policy, North American mining developments, tech trends &amp; industry outlook.   https://t.co/GLTpiWI2SG"
michael_saylor,2021-06-12,@TheEconomist #Bitcoin represents the discipline of engineering finally arriving to the field of economics.  The creation of digital property resting on an open monetary protocol is the greatest force for economic empowerment and the most disruptive technology of this century.
michael_saylor,2021-06-12,"Bitcoin is  https://t.co/Rvf2JvyHMb.  The website is free, continually updated, and contains links to #Bitcoin interviews, research, books, courses, podcasts, corporate resources, leaders, &amp; websites in a single place, easy to remember, ready to share. 🔥"
michael_saylor,2021-06-12,"#Bitcoin mining anchors the global monetary network and leads other industries in recycling waste energy, rescuing stranded energy, &amp; harnessing renewable energy. It is increasing its sustainability mix and improving its energy efficiency faster than any other major industry."
michael_saylor,2021-06-12,“Honesty is the first chapter in the book of wisdom.” - Thomas Jefferson on #Bitcoin
michael_saylor,2021-06-11,"The 21st century global monetary solution is a digital currency (USD) serving as a medium of exchange backed by a digital asset (BTC) serving as a store of value, with #Bitcoin as the final settlement network and #Lightning as the transaction network.  El Salvador is the model."
michael_saylor,2021-06-11,"@JesseKellyDC #Bitcoin is a technology that offers property rights, economic freedom, &amp; hope to everyone on earth. It is the first properly engineered monetary system in the history of the world, and the only monetary network we have ever devised that respects the laws of thermodynamics."
michael_saylor,2021-06-11,"#Bitcoin allows anyone on earth 🌍 to save money in an asset that appreciates in value, convert instantly to a currency like USD when they need a medium of exchange, and transfer value freely worldwide across the monetary network via #Lightning at the speed of light.⚡️"
michael_saylor,2021-06-11,"#Bitcoin is the most efficient use of energy, ever."
michael_saylor,2021-06-11,"Texas is taking a leading role in #Bitcoin development.  This is a big win for their banks, energy producers, &amp; citizens, and sets a great example for those states destined to follow.  Welcome to Bitcoin @GregAbbott_TX."
michael_saylor,2021-06-11,@GregAbbott_TX Thanks for your support.  #Bitcoin is the most powerful technology in the world for converting energy into freedom &amp; prosperity. Texas is leading the nation toward a better future.
michael_saylor,2021-06-11,"#Bitcoin is coming to 401(k) plans.  An asset engineered to outlast product cycles, corporations, and governments makes sense in a retirement portfolio."
michael_saylor,2021-06-11,"@SenWarren We finally have the technology w/ #Bitcoin to empower billions of poor &amp; working class people with property rights, economic security, &amp; freedom from financial repression by the state &amp; institutions. The fact that we use electricity to do this should be the least of our concerns."
michael_saylor,2021-06-11,"For centuries, every political policy and banking initiative championed by North America and Western Europe to aid Latin American economies has been a failure.  The solution requires monetary technology, not conventional political/economic thinking &amp; good intentions.  #Bitcoin"
michael_saylor,2021-06-11,"The China mining crackdown will decrease the carbon footprint of bitcoin dramatically, decentralize the network further, improve network security, improve the profitability of mining, and benefit North American #Bitcoin miners.  https://t.co/1AF6ek6Rzn"
michael_saylor,2021-06-11,#Bitcoin is digital property.
michael_saylor,2021-06-10,"@steve_hanke There is nothing more liberating or auspicious than providing the citizens of a country economic empowerment via technology. Why should we fear mobile phones, wireless networks, electronic payments &amp; digital assets like #bitcoin? What better way is there to help the 70% unbanked?"
michael_saylor,2021-06-10,"In a country where 70% of the population is excluded from the financial system, #Bitcoin is hope. The Republic of El Salvador is leading the way toward a better world."
michael_saylor,2021-06-10,"The Bitcoin Mining Council is a voluntary and open forum of Bitcoin miners committed to the network and its core principles. We promote transparency, share best practices, and educate the public on the benefits of #Bitcoin and Bitcoin mining.  Join us. 🙏  https://t.co/vGPGD3TA5p"
michael_saylor,2021-06-10,"The next stage of #Bitcoin development will see many Bitcoin miners come public in the United States, providing an added layer of security, integrity, &amp; durability to bitcoin.  Congratulations to @Hut8Mining. 🚀"
