Date,Price,Open,High,Low,Vol,Growth,AVBLS,CPTRA,HRATE,MIREV,MWNTD,MWNUS,MWTRV,TOTBC,Btc_Mined,TRFEE,TRVOU
2021-05-28,35854.7,38543.2,38844.1,35446.8,146840.0,-0.0667,1.343872411764706,136.9262036091956,148163050.51400563,29892496.4361271,64586.0,73438872.0,17816.38542556014,18720668.75,656.25,69.53506793000003,489470054.16400003
2021-05-27,38417.3,39249.0,40322.2,37190.8,122930.0,-0.0212,1.262394282051282,144.24022881761775,145672915.21124923,30872457.37497881,71784.0,73396376.0,19012.424279400013,18719793.75,875.0,66.11477022000001,676198904.1984
2021-05-26,39249.2,38375.7,40750.0,37847.0,153800.0,0.0227,1.3001551639344262,142.9087211916139,151898253.46814018,32976616.14112848,72407.0,73365685.0,24427.16889924992,18719075.0,718.75,77.84665827,719154798.135
2021-05-25,38378.3,38753.6,39740.8,36540.7,163010.0,-0.0096,1.359462617886179,139.4340447316791,153143321.1195184,32577927.94728843,68323.0,73329130.0,21192.495812519952,18718318.75,756.25,85.81813125999999,1032788864.5365
2021-05-24,38750.6,34720.3,39851.7,34474.6,244880.0,0.1174,1.3459425476190479,139.1612414497509,156878524.07365298,32668797.23653627,65594.0,73277908.0,16982.60354447012,18717531.25,787.5,96.80194258,1106858419.3752
2021-05-23,34679.7,37446.8,38248.7,31192.4,325730.0,-0.0739,1.379971949579833,148.95100341814728,148163050.51400563,28944158.98421438,44844.0,73224985.0,14841.587710009875,18716931.25,600.0,81.40676948000002,666031627.835
2021-05-22,37448.3,37291.0,38776.0,35314.9,185830.0,0.004,1.2895503362068967,138.8567689088247,144427847.55987102,31076144.88179497,52778.0,73178063.0,18070.96999000997,18716087.5,843.75,102.38136843,1438210289.5839999
2021-05-21,41156.6,40611.2,42108.3,39251.8,204980.0,0.0108,1.2896153545454547,141.30407816392056,136957441.65160182,31984319.396481585,61327.0,73141813.0,21335.610550160003,18715318.75,768.75,131.01122920000003,1507671102.5376
2021-05-20,40717.2,36706.8,42425.9,35010.4,269750.0,0.10880000000000001,1.3041271875000002,145.30644511494722,139447576.95435822,33135536.43756745,62796.0,73118150.0,27391.46403257004,18714756.25,562.5,132.47635443,3192479060.6673994
2021-05-19,36720.5,42898.3,43516.6,30261.7,607100.0,-0.14400000000000002,1.32228564,136.74440494294942,155633456.42227483,36558890.15030742,67965.0,73079866.0,60807.17446964036,18714031.25,725.0,122.72468288999998,776420981.7175001
2021-05-18,42897.3,43538.5,45770.9,42293.9,154960.0,-0.0148,1.3321869600000005,138.5799674267093,124506765.13781984,30628667.240716435,66334.0,73024411.0,21695.32470338991,18713275.0,756.25,67.16487364999998,1365356635.4928
2021-05-17,43541.3,46424.2,46545.4,42201.5,274760.0,-0.0621,1.3341216280991737,146.96660701407185,150653185.81676203,36875391.36590077,66717.0,72994856.0,32399.128251079877,18712581.25,693.75,76.18906998,795540649.036
