"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2021","39,657.8","36,706.8","40,750.6","35,010.4","357.95K","8.00%"
"May 19, 2021","36,720.5","42,898.3","43,516.6","30,261.7","607.10K","-14.40%"
"May 18, 2021","42,897.3","43,538.5","45,770.9","42,293.9","154.96K","-1.48%"
"May 17, 2021","43,541.3","46,424.2","46,545.4","42,201.5","274.76K","-6.21%"
"May 16, 2021","46,426.4","46,729.3","49,764.3","43,920.8","180.07K","-0.60%"
"May 15, 2021","46,708.8","49,839.1","50,640.9","46,650.2","131.91K","-6.28%"
"May 14, 2021","49,839.8","49,704.9","51,459.2","48,874.0","118.84K","0.27%"
"May 13, 2021","49,704.6","49,398.2","51,337.3","46,331.1","236.71K","0.65%"
"May 12, 2021","49,384.2","56,694.5","57,938.5","49,187.0","160.74K","-12.90%"
"May 11, 2021","56,695.7","55,846.1","56,871.1","54,550.4","96.47K","1.52%"
"May 10, 2021","55,848.9","58,251.2","59,523.9","53,678.3","142.61K","-4.10%"
"May 09, 2021","58,238.3","58,840.6","59,227.0","56,414.4","103.59K","-1.02%"
"May 08, 2021","58,840.1","57,330.3","59,471.1","56,972.2","101.27K","2.62%"
"May 07, 2021","57,337.2","56,411.4","58,639.3","55,300.1","110.01K","1.65%"
"May 06, 2021","56,405.4","57,441.0","58,364.9","55,294.5","109.02K","-1.80%"
"May 05, 2021","57,441.3","53,872.5","57,936.4","53,872.5","119.82K","6.88%"
"May 04, 2021","53,741.5","57,170.6","57,201.3","53,741.5","132.33K","-6.00%"
"May 03, 2021","57,169.8","56,605.8","58,925.1","56,562.4","89.24K","1.00%"
"May 02, 2021","56,603.8","57,807.2","57,868.4","56,110.5","53.61K","-2.08%"
"May 01, 2021","57,807.1","57,719.1","58,449.4","57,029.5","63.41K","0.15%"
"Apr 30, 2021","57,720.3","53,562.3","57,925.6","53,088.7","103.74K","7.77%"
"Apr 29, 2021","53,560.8","54,838.6","55,173.7","52,400.0","83.90K","-2.34%"
"Apr 28, 2021","54,841.4","55,036.0","56,419.9","53,876.4","86.96K","-0.35%"
"Apr 27, 2021","55,036.5","54,011.1","55,427.8","53,345.0","84.08K","1.88%"
"Apr 26, 2021","54,020.5","48,963.5","54,320.9","48,815.9","129.76K","10.33%"
"Apr 25, 2021","48,963.6","50,088.2","50,532.4","47,098.5","59.20K","-2.25%"
"Apr 24, 2021","50,088.9","51,140.8","51,183.0","48,775.2","82.25K","-2.06%"
"Apr 23, 2021","51,143.6","51,707.1","52,099.9","47,659.4","214.46K","-1.13%"
"Apr 22, 2021","51,729.5","53,821.3","55,408.4","50,590.9","168.13K","-3.88%"
"Apr 21, 2021","53,820.2","56,479.5","56,764.4","53,657.6","100.26K","-4.71%"
"Apr 20, 2021","56,483.2","55,645.1","57,054.9","53,422.5","115.49K","1.50%"
